,id_right,count
1,2africa,53
76,5-villages-6-islands,9
245,acs-alaska-oregon-network-akorn,4
440,aden-djibouti,2
305,adria-1,3
480,aec-1,2
47,africa-1,11
13,africa-coast-to-europe-ace,18
182,airraq,5
230,alaska-united-east-au-east,4
108,alaska-united-southeast-au-se,7
491,alaska-united-turnagain-arm-auta,2
297,alaska-united-west-au-west,3
257,alba-1,4
644,aletar,1
472,almera-melilla-alme,2
419,alonso-de-ojeda,2
474,alpal-2,2
28,america-movil-submarine-cable-system-1-amx-1,15
183,american-1,5
72,americas-ii,9
366,americas-i-north,2
373,amerigo-vespucci,2
309,amitie,3
185,andromeda,5
365,anjana,2
203,antillas-1,4
86,apcn-2,8
356,apocs-1,2
201,apocs-2,4
200,apollo,4
357,apollo-east-and-west,2
68,apricot,9
50,aqualink,11
6,arcos,24
321,arctic-way,3
384,arimao,2
406,arsat-submarine-fiber-optic-cable,2
9,asia-africa-europe-1-aae-1,21
33,asia-america-gateway-aag-cable-system,13
48,asia-connect-cable-1-acc-1,11
91,asia-direct-cable-adc,7
71,asia-link-cable-alc,9
44,asia-pacific-gateway-apg,12
179,asia-submarine-cable-express-asecahaya-malaysia,5
196,atisa,4
187,atlantic-crossing-1-ac-1,5
411,atlas-offshore,2
20,au-aleutian,16
40,aurora,12
402,australia-connect-interlink,2
113,australia-japan-cable-ajc,6
193,australia-singapore-cable-asc,4
188,avassa,4
388,awashima-murakami,2
94,azores-fiber-optic-system-afos,7
147,b2js-jakarta-bangka-batam-singapore-cable-system,6
327,bahamas-2,3
24,bahamas-domestic-submarine-network-bdsni,15
92,bahamas-internet-cable-system-bics,7
518,balalink,2
496,balok,2
227,baltica,4
324,baltic-sea-submarine-cable,3
646,bangladesh-private-cable-system-bpcs,1
134,barat-timur-indonesia-1-bti-1,6
39,barat-timur-indonesia-2-bti-2,12
606,basslink,2
604,bass-strait-1,2
605,bass-strait-2,2
205,batam-dumai-melaka-bdm,4
653,batam-rengit-cable-system-brcs,1
652,batam-sarawak-internet-cable-system-basics,1
225,batam-singapore-cable-system-bscs,4
116,bay-of-bengal-gateway-bbg,6
576,bcs-east,2
577,bcs-east-west-interlink,2
175,bcs-north---phase-1,5
318,bcs-north---phase-2,3
316,beaufort,3
214,berytar,4
315,besut-perhentian-islands,3
610,bharat-lanka-cable-system,2
634,bicentenario,2
82,bifrost,8
209,biznet-nusantara-cable-system-1-bncs-1,4
37,blue,13
630,bodo-rost-cable,2
184,boracay-palawan-submarine-cable-system-bpscs,5
648,bosun,1
611,botnia,2
30,brazilian-festoon,14
618,bridge-one,2
211,brusa,4
2,bt-highlands-and-islands-submarine-cable-system,40
213,bt-mt-1,4
623,bugio,2
138,bulikula,6
180,cabo-verde-telecom-domestic-submarine-cable-phase-1,5
274,cabo-verde-telecom-domestic-submarine-cable-phase-2,3
84,cabo-verde-telecom-domestic-submarine-cable-phase-3,8
276,cadmos,3
522,cadmos-2,2
523,calvi-st-florent,2
532,cambodia-hong-kong,2
275,cam-ring,3
83,canalink,8
514,candalta,2
264,cantat-3,4
500,caribbean-bermuda-u-s-cbus,2
67,caribbean-regional-communications-infrastructure-program-carcip,9
88,carnival-submarine-network-1-csn-1,7
502,carnival-submarine-network-2-csn-2,2
503,caspian-crossing,2
504,cat-submarine-network-csn,2
507,caucasus-cable-system,2
130,cayman-jamaica-fiber-system-cjfs,6
509,ceiba-1,2
279,ceiba-2,3
233,celia,4
567,celtixconnect-1-cc-1,2
544,channel-islands-9-liberty-submarine-cable,2
66,chennai-andaman-nicobar-islands-cable-cani,9
548,chi,2
549,chuuk-pohnpei-cable,2
442,circe-north,2
537,circe-south,2
331,c-lion1,3
505,cobracable,2
499,cogim,2
198,colombia-florida-subsea-fiber-cfx-1,4
177,colombian-festoon,5
517,columbus-ii-b,2
519,columbus-iii-azores-portugal,2
351,comoros-domestic-cable-system,3
615,concerto,2
186,confluence-1,5
0,connected-coast,114
612,continente-madeira,2
7,converge-domestic-submarine-cable-network-cdscn,22
619,cook-strait,2
631,coral-bridge,2
118,coral-sea-cable-system-cs,6
633,corse-continent-4-cc4,2
591,corse-continent-5-cc5,2
584,crosschannel-fibre,2
583,crosslake-fibre,2
585,cross-sound-cable,2
216,cross-straits-cable-network-cscn,4
337,curie,3
126,cyclades-a,6
349,cyclades-b,3
398,daito-loop,2
400,dalian-yantai-cable,2
344,damai-cable-system,3
362,danica-north,2
368,danice,2
639,darwin-jakarta-singapore-cable-djsc,1
178,deep-blue-one,5
462,denmark-sweden-17,2
476,denmark-sweden-18,2
252,denpasar-waingapu-cable-systems,4
78,dhiraagu-cable-network,8
488,dhiraagu-slt-submarine-cable-network,2
484,didon,2
176,djibouti-africa-regional-express-1-dare-1,5
79,domestic-submarine-cable-of-maldives-dscom,8
240,dos-continentes-l-ll,4
422,dumai-melaka-cable-system-dmcs,2
438,dunant,2
36,eac-c2c,13
355,eagle,3
69,eastern-africa-submarine-system-eassy,9
27,eastern-caribbean-fiber-system-ecfs,15
250,eastern-light-sweden-finland-i,4
249,eastern-light-sweden-finland-ii,4
251,east-micronesia-cable-system-emcs,4
181,east-west,5
194,east-west-submarine-cable-system,4
148,eaufon-1,5
247,eaufon-2,4
109,eaufon-3,7
107,echo,7
441,eclink,2
454,e-finest,2
439,elektra-globalconnect-1-gc1,2
129,ellalink,6
447,e-llan,2
140,emc-west-1,6
131,emc-west-2,6
423,emerald-bridge-fibres,2
433,energinet-laeso-varberg,2
436,energinet-lyngsa-laeso,2
458,energy-bridge-cable,2
478,epic-malta-sicily-cable-system-emscs,2
112,equiano,6
482,esat-2,2
483,est-tet,2
34,europe-india-gateway-eig,13
350,eviny-digital,3
353,exa-express,3
149,exa-north-and-south,5
490,exelera-north,2
8,falcon,21
338,far-east-submarine-cable-system,3
335,farice-1,3
479,farland-north,2
267,faster,4
460,fehmarn-blt,2
143,fiber-optic-gulf-fog,6
151,fibralink,5
461,fibra-optica-al-pacfico,2
255,fibra-optica-austral,4
463,finland-estonia-2-eesf-2,2
465,finland-estonia-3-eesf-3,2
468,finland-estonia-connection-1-fec-1,2
469,finland-estonia-connection-2-fec-2,2
256,firmina,4
470,fish-north,2
128,fish-south,6
259,fish-west,4
260,flag-atlantic-1-fa-1,4
21,flag-europe-asia-fea,16
254,flag-north-asia-loopreach-north-asia-loop,4
263,flores-corvo-cable-system,4
475,fly-lion3,2
420,fos-quellon-chacabuco,2
265,galapagos-cable-system,4
125,gc-lnz-fu-ring,6
647,gemini-bermuda,1
377,geo-eirgrid,2
339,georgia-russia,3
378,germany-denmark-3,2
364,glo-1,2
127,global-caribbean-network-gcn,6
359,globalconnect-2-gc2,2
358,globalconnect-3-gc3,2
383,globalconnect-6-gc6,2
407,globalconnect-denmark-sweden,2
410,globalconnect-kpn,2
77,globenet,8
416,go-1-mediterranean-cable-system,2
417,gondwana-1,2
90,gondwana-2picot-2,7
341,grace-hopper,3
192,greenland-connect,4
190,greenland-connect-north,4
387,groix-4,2
627,groote-eylandt,2
393,gtmo-1,2
396,gtmo-pr,2
153,guadeloupe-cable-des-iles-du-sud-gcis,5
347,guam-okinawa-kyushu-incheon-goki,3
594,guernsey-jersey-4,2
343,gulf2africa-g2a,3
73,gulf-bridge-international-cable-systemmiddle-east-north-africa-cable-system-gbicsmena,9
602,gulf-of-california-cable,2
603,gulf-of-mexico-fiber-optic-network,2
592,hachijojima-mainland,2
589,haikou-beihai-cable,2
334,hainan-to-hong-kong-express-h2he,3
223,halaihai,4
574,hannibal-system,2
222,hantru1-cable-system,4
221,havfrueaec-2,4
220,havhingstenceltixconnect-2-cc-2,4
575,havhingstennorth-sea-connect-nsc,2
578,havsil,2
123,hawaiian-islands-fiber-link-hifl,6
172,hawaii-inter-island-cable-system-hics,5
103,hawaii-island-fibre-network-hifn,7
102,hawaiki,7
64,hawaiki-nui-1,10
354,hawk,3
352,high-capacity-undersea-guernsey-optical-fibre-hugo,3
609,hokkaido-akita-cable,2
332,hokkaido-rebun-rishiri,3
608,hokkaido-sakhalin-cable-system-hscs,2
121,honomoana,6
171,honotua,5
336,hronn,3
632,i2i-cable-network-i2icn,2
119,ice-iv,6
628,iceni,2
74,imewe,9
100,india-asia-xpress-iax,7
53,india-europe-xpress-iex,11
614,indigo-central,2
333,indigo-west,3
54,indonesia-global-gateway-igg-system,11
208,ingrid,4
348,insica,3
617,interchange-cable-network-1-icn1,2
97,ioema,7
620,ionian,2
572,iris,2
516,isle-au-haut-cable,2
571,isles-of-scilly-cable,2
95,israel-coasting-1-ic-1,7
520,italy-albania,2
444,italy-croatia,2
521,italy-greece-1-ig-1,2
525,italy-libya,2
526,italy-malta,2
528,italy-monaco,2
529,ixchel,2
197,izu-islands-cable-system,4
55,jaka2ladema,11
169,jakabare,5
87,jakarta-bangka-bintan-batam-singapore-b3js,7
199,jakarta-surabaya-cable-system-jayabaya,4
515,jalapati,2
637,jambi-batam-cable-system-jiba,1
266,janna,4
649,japan-guam-australia-north-jga-n,1
340,japan-guam-australia-south-jga-s,3
75,japan-information-highway-jih,9
93,jasuka,7
513,java-bali-cable-system-jbcs,2
346,java-kalimantan-sulawesi-jakasusi,3
345,javali,3
533,jeju-mainland-2,2
536,jeju-mainland-3,2
558,jeju-udo,2
564,jerry-newton,2
566,jonah,2
234,jscfs,4
568,junior,2
342,juno,3
174,jupiter,5
241,kafos,4
542,kanawa,2
545,kangaroo-island-2,2
206,kattegat-2,4
363,kerch-strait-cable,2
593,ketchcan1-submarine-fiber-cable-system,2
551,kingisepp-kaliningrad-system-baltika,2
550,kitadaito-island,2
41,kochi-lakshadweep-islands-kli-sofc,12
145,kodiak-kenai-fiber-link-kkfl,6
547,konstanz-friedrichshafen,2
546,konstanz-meersburg,2
330,korea-japan-cable-network-kjcn,3
26,kumul-domestic-submarine-cable-system,15
543,kupang-alor-cable-systems,2
248,kuwait-iran,4
540,labuan-brunei-submarine-cable,2
541,la-gomera-el-hierro,2
539,lake-albert-1,2
538,lake-albert-2,2
277,lake-michigan-chicago-crossing,3
278,lake-michigan-crossing-peninsula-and-island-connection,3
552,lake-tanganyika,2
553,lanis-1,2
554,lanis-2,2
563,lanis-3,2
569,latvia-sweden-1-lv-se-1,2
281,lazaro-cardenas-manzanillo-santiago-submarine-cable-system-lcmsscs,3
167,les-dhyres-cable,5
35,lfon-libyan-fiber-optic-network,13
565,libreville-port-gentil,2
271,lic-lin-lamp,3
562,link-1-phase-1,2
555,link-1-phase-2,2
561,link-2-phase-1,2
560,link-2-phase-2,2
559,link-3-phase-1,2
285,link-3-phase-2,3
557,link-4-phase-2,2
638,link-5-phase-2,1
556,lower-indian-ocean-network-2-lion2,2
284,lower-indian-ocean-network-lion,3
535,lumut-pangkor-island,2
534,luwuk-tutuyan-cable-system-ltcs,2
280,lynn-canal-fiber,3
166,mainone,5
272,malaysia-cambodia-thailand-mct-cable,3
269,malbec,3
512,maldives-sri-lanka-cable-msc,2
511,malta-gozo-cable,2
510,malta-italy-interconnector,2
139,manatua,6
508,mandji-fiber-optic-cable,2
137,manta,6
506,marea,2
262,mariana-guam-cable,4
136,maroc-telecom-west-africa,6
89,mataram-kupang-cable-system-mkcs,7
165,matrix-cable-system,5
501,mauritius-and-rodrigues-submarine-cable-system-mars,2
104,maya-1,7
258,med-cable-network,4
261,medloop,4
96,mednautilus-submarine-system,7
23,medusa-submarine-cable-system,15
498,melita-1,2
232,meltingpot-indianoceanic-submarine-system-metiss,4
286,mercator,3
283,mid-atlantic-crossing-mac,3
154,middle-east-north-africa-mena-cable-systemgulf-bridge-international,5
531,minamidaito-island,2
530,minoas-east-and-west,2
218,mishima-village,4
162,mist,5
527,miyazaki-okinawa-cable-moc,2
282,monet,3
219,moratelindo-international-cable-system-1-mic-1,4
524,muroran-hachinohe,2
19,n0r5ke-viking,16
22,n0r5ke-viking-2,15
207,national-digital-transmission-network-ndtn,4
135,nationwide-submarine-cable-ooredoo-maldives-nascom,6
52,natitua,11
273,natitua-sud,3
570,nelson-levin,2
146,new-cam-ring,6
106,new-cross-pacific-ncp-cable-system,7
587,nigeria-cameroon-submarine-cable-system-ncscs,2
625,ningbo-zhoushan-cable,2
159,nome-to-homer-express-nthe,5
622,nongsa-changi,2
621,nordbalt,2
80,norfest,8
156,norte-conectado-infovia-00,5
51,norte-conectado-infovia-01,11
32,norte-conectado-infovia-02,13
81,norte-conectado-infovia-03,8
210,norte-conectado-infovia-04,4
616,northern-lights,2
253,northstar,4
270,north-west-cable-system,3
624,no-uk,2
228,nuvem,4
288,nzadi-cable-system,3
310,ogasawara-cable-network,3
626,okinawa-cellular-cable,2
312,okinawa-miyakojima-ishigaki,3
70,okinawa-remote-islands,9
651,olisipo,1
173,oman-australia-cable-oac,5
152,omranepeg,5
313,oran-valencia-orval,3
314,orca,3
636,oskarshamn-visby,2
635,oteglobe-kokkini-bari,2
61,pacific-caribbean-cable-system-pccs,10
212,pacific-crossing-1-pc-1,4
629,pacific-light-cable-network-plcn,2
613,padang-tua-pejat,2
11,palapa-ring-east,19
10,palapa-ring-middle,19
46,palapa-ring-west,12
588,palawan-iloilo-cable-system,2
155,pan-american-crossing-pac,5
317,pan-european-crossing-uk-belgium,3
215,pan-european-crossing-uk-ireland,4
111,paniolo-cable-network,7
586,pasuli,2
319,patara-2,3
29,peace-cable,14
311,penbal-4,3
582,penbal-5,2
581,pencan-8,2
580,pencan-9,2
579,persona,2
320,petropavlovsk-kamchatsky---anadyr,3
217,pgascom,4
3,philippine-domestic-submarine-cable-network-pdscn,33
5,piano-isole-minori,31
322,picot-1,3
323,pipe-pacific-cable-1-ppc-1,3
224,pishgaman-oman-iran-poi-network,4
45,pldt-domestic-fiber-optic-network-dfon,12
573,png-lng,2
110,polar-circle-cable,7
59,polar-express,10
590,poseidon,2
43,prat,12
607,proa,2
114,projeto-amaznia-conectada-pac-01,6
158,projeto-amaznia-conectada-pac-02,5
160,qatar-u-a-e-submarine-cable-system,5
120,quintillion-subsea-cable-network,6
4,r100-north,31
141,raman,6
325,red2med,3
601,rnne-rdvig,2
600,rockabill,2
599,rompin-tioman-island,2
287,romsar-2,3
598,romulo,2
597,roquetas-melilla-cam,2
596,ruppione-isolella,2
595,russia-japan-cable-network-rjcn,2
168,saba-statia-cable-system-sscs,5
144,safe,6
497,sagres,2
204,sakhalin-kuril-islands-cable,4
495,samoa-american-samoa-sas,2
399,san-andres-isla-tolu-submarine-cable-sait,2
191,sape-labuan-bajo-ende-kupang,4
397,sarco,2
42,sat-3wasc,12
395,saudi-arabia-sudan-1-sas-1,2
394,saudi-arabia-sudan-2-sas-2,2
189,saudi-vision,4
642,scandinavian-ring-north,1
392,scandinavian-ring-south,2
391,scotland-northern-ireland-3,2
390,scotland-northern-ireland-4,2
389,scylla,2
386,sea2shore,2
385,seabras-1,2
99,seacomtata-tgn-eurasia,7
170,sea-h2x,5
328,sealink,3
401,sealink-south,2
25,seamewe-4,15
14,seamewe-5,18
15,seamewe-6,18
98,sea-us,7
195,seax-1,4
415,segunda-fos-canal-de-chacao,2
414,senegal-horn-of-africa-regional-express-share-cable,2
413,seychelles-to-east-africa-system-seas,2
101,shefa-2,7
412,silphium,2
329,sint-maarten-puerto-rico-network-one-smpr-1,3
403,sir-abu-nuayr-cable,2
409,sirius-north,2
408,sirius-south,2
142,sistem-kabel-rakyat-1malaysia-skr1m,6
150,sjjk,5
382,skagenfiber-west,2
404,skagerrak-4,2
65,smpcs-packet-1,10
63,smpcs-packet-2,10
640,solas,1
379,sorsogon-samar-submarine-fiber-optical-interconnection-project-sssfoip,2
18,south-america-1-sam-1,16
49,south-american-crossing-sac,11
361,south-atlantic-cable-system-sacs,2
360,south-atlantic-inter-link-sail,2
60,southeast-asia-japan-cable-2-sjc2,10
202,southeast-asia-japan-cable-sjc,4
16,southern-caribbean-fiber,18
62,southern-cross-cable-network-sccn,10
132,southern-cross-next,6
161,south-pacific-cable-system-spcsmistral,5
380,sovetskaya-gavan-ilyinskoye,2
381,sovetskaya-gavan-uglegorsk,2
226,sto-hel-one,4
229,st-pierre-and-miquelon-cable,4
376,strategic-evolution-underwater-link-seul,2
105,st-thomas-st-croix-system,7
326,s-u-b-cable-system,3
375,subcan-link-1,2
374,subcan-link-2,2
17,submarine-cable-in-the-philippines-scip,17
372,sumatera-bangka-cable-system-sbcs,2
371,sunoque-i,2
370,sunoque-ii,2
369,sunoque-iii,2
299,suriname-guyana-submarine-cable-system-sg-scs,3
445,svalbard-undersea-cable-system,2
308,sweden-estonia-ee-s-1,3
367,sweden-latvia,2
164,sydney-melbourne-adelaide-perth-smap,5
418,t3,2
405,taba-aqaba,2
122,tabua,6
430,taihei,2
290,taino-carib,3
133,taiwan-penghu-kinmen-matsu-no-2-tpkm2,6
58,taiwan-penghu-kinmen-matsu-no-3-tpkm3,10
473,taiwan-strait-express-1-tse-1,2
57,tam-1,10
291,tampnet-north,3
471,tampnet-south,2
641,tamtam,1
292,tangerine,3
293,tanjung-pandan-sungai-kakap,3
294,tannat,3
467,tarakan-selor-cable-system-tscs,2
466,tasman-express-tx,2
295,tasman-global-access-tga-cable,3
124,tasman-ring-network,6
464,tata-tgn-atlantic-south,2
85,tata-tgn-gulf,8
296,tata-tgn-intra-asia-tgn-ia,3
157,tata-tgn-pacific,5
289,tata-tgn-tata-indicom,3
298,tata-tgn-western-europe,3
477,tautira-teahupoo,2
300,tegopa,3
494,telstra-endeavour,2
493,tenerife-gran-canaria,2
492,tenerife-la-palma,2
268,te-northtgn-eurasiaseacomalexandrosmedex,4
56,terra-sw,11
242,thailand-domestic-submarine-cable-network-tdscn,4
163,thailand-indonesia-singapore-tis,5
489,the-east-african-marine-system-teams,2
12,thetis,18
301,tikal-amx3,3
487,tko-connect,2
486,tobrok-emasaed-cable-system,2
302,tokelau-submarine-cable,3
485,tonga-cable,2
303,tonga-domestic-cable-extension-tdce,3
235,topaz,4
236,tpu,4
481,trans-adriatic-express-tae,2
237,transcan-2,4
459,transcan-3,2
115,trans-pacific-express-tpe-cable-system,6
304,transworld-tw1,3
457,trapani-kelibia-2-keltra-2,2
437,tt-1,2
117,tui-samoa,6
435,turcyos-1,2
434,turcyos-2,2
238,tverrlinken,4
432,uae-iran,2
431,ugarit,2
429,uk-channel-islands-7,2
421,uk-channel-islands-8,2
428,ulleung-mainland-2,2
427,ultramar-ge,2
645,ulysses-2,1
426,umo,2
425,umoja,2
424,unisur,2
239,unitel-north-submarine-cable-unsc,4
231,unitirreno,4
306,unityeac-pacific,3
650,vaka,1
243,vancouver-bowen-island-vancouver-island,4
38,venezuelan-festoon,12
244,vietnam-singapore-cable-system-vts,4
456,vodafone-greece-domestic,2
455,vstervik-visby,2
31,west-africa-cable-system-wacs,13
453,whidbey-island-camano-island,2
452,whidbey-island-everett,2
451,whidbey-island-hat-island,2
450,whidbey-island-seattle,2
449,x-link-submarine-cable,2
448,yellow,2
246,yui,4
446,yuza-tobishima,2
307,zayo-festoon,3
443,zeus,2
643,,1
